0.01	981123	18877	6528.36	273651	6338.37
0.05	932489	67511	3188.95	176504	7838.69
0.1	875758	124242	1739.21	109952	7324.1
0.01	980114	19886	16437.7	925491	18836
0.05	925995	74005	6463.73	530731	23558.9
0.1	862388	137612	3428.9	309369	23946
0.01	980862	19138	10440.5	551362	11376.9
0.05	930779	69221	4504.29	335117	14798
0.1	871890	128110	2351.32	201096	13179.9
0.01	980246	19754	9744.06	410291	9610.19
0.05	927188	72812	4586.76	256430	12468
0.1	867142	132858	2491.46	159306	13082.5
0.01	586707	13293	36942.4	893885	6809.53
0.05	546661	53339	23138.5	548232	8358.61
0.1	500766	99234	16555.5	360139	8844.38
0.01	783152	16848	31005.8	1.58671e+06	7516.55
0.05	734003	65997	13944	891024	10046.9
0.1	677172	122828	8562.9	525914	10290.2
0.01	980500	19500	14423.6	755853	14747.2
0.05	927053	72947	5907.93	452485	19663.4
0.1	865241	134759	2924.34	271057	20008
0.01	980380	19620	14170.9	723080	15285.2
0.05	927352	72648	5870.12	434547	19910
0.1	865635	134365	2963.12	258617	20040.3
0.01	977315	22685	38129.3	908952	6051.18
0.05	909452	90548	24096	542914	7591.86
0.1	830898	169102	17419.7	352960	7725.48
0.01	981111	18889	8946.3	415273	8449.4
0.05	931989	68011	4148.92	263374	11060
0.1	875081	124919	2134.3	160764	11151.6
0.01	980009	19991	21035.5	1.01524e+06	22545.7
0.05	923903	76097	9508.62	593282	28551
0.1	858206	141794	5671.74	352102	27282.7
0.01	981587	18413	5584.82	232664	4413.45
0.05	935152	64848	2837.52	153157	5704.86
0.1	880163	119837	1562.9	96433.7	5866.54
0.01	586822	13178	46080.8	2.28896e+06	8590.38
0.05	546650	53350	22316.1	1.42052e+06	12875.8
0.1	500466	99534	13596.2	880780	13068.2
0.01	981623	18377	5271.79	234369	5364.18
0.05	935324	64676	2666.47	152710	6990.73
0.1	880751	119249	1481.5	94899.1	7044.66
0.01	782154	17846	37716.5	914586	6200.17
0.05	727783	72217	23744.5	553540	7599.49
0.1	666139	133861	16998.1	364532	7971.82
0.01	782361	17639	36462.5	887460	6935.74
