ID,PositionX,PositionY,PositionZ
3950,1400.56,1714.23,4.512333818794579
5689,1579.82,1705.44,4.515799578653915
18267,1715.76,10228.4,4.525556205805945
281,1751.88,5509.4,4.570801576901023
24314,2482.08,12514.1,4.593178146157766
21246,1990.4,11086.6,4.628345119648326
21272,1965.3,11307.9,4.639004027040543
2576,1762.11,2941.27,4.708486881945884
7285,1757.05,7867.38,4.731620878524948
24301,2253.39,12183.2,4.734872986779746
5575,1805.81,7684.21,4.752608391679073
3982,1744.47,2334.43,4.779007066532292
257,1722.51,5341.45,4.823662598805148
456,1758.01,3165.47,4.844614173674779
2525,1823.83,2451.71,4.852499450514486
20629,1538.79,10511.8,4.86297322420268
27714,2791.94,13564.7,4.904499212608153
22854,2210.08,11908.2,4.941815899634419
2523,1715.42,2430.0,4.9578633194727875
2476,1795.79,7103.11,5.002041331118173
20712,1941.19,11159.9,5.002527807183105
2555,1805.44,2691.19,5.0152846458322795
12882,1540.5,9514.61,5.039812649681481
2593,1869.31,2934.63,5.0668239985501895
21652,1901.03,10760.9,5.070176176826106
2550,1764.67,2729.9,5.203001945310686
1445,1818.14,3082.72,5.229634496124721
14247,1468.66,9472.34,5.270395546764936
66,1752.94,4013.84,5.279507713218316
2575,1627.93,2895.51,5.2796109691820945
18266,1843.59,10029.6,5.29154471572941
5726,1811.26,2141.54,5.321771459486373
24295,2258.37,12085.9,5.342170874996773
18268,1668.66,10135.4,5.356210802019272
3871,1538.14,7240.05,5.361848339218494
11322,1534.9,599.721,5.374581531458288
18966,1847.61,10063.4,5.3971422766611745
103,1695.41,4326.6,5.415830851051094
104,1745.44,4357.12,5.469552642298474
463,1805.03,3125.15,5.475043665806987
20713,1883.81,11189.3,5.542318789065945
7661,1654.09,2058.58,5.555292350122946
28724,2398.57,13761.6,5.584194239092599
27175,2478.95,13249.4,5.610140376889598
484,1764.57,3377.27,5.611297753972369
22247,1853.84,11465.0,5.6160964483108105
1408,1852.54,1939.27,5.616502879224973
21245,1960.92,11064.7,5.656866257347899
7544,1756.87,697.691,5.713101627194264
22299,2188.7,11895.6,5.724490259919393
21211,1818.89,10651.9,5.727333479552107
25491,2526.07,12699.0,5.813245003081928
27678,2439.23,13343.3,5.837941810311944
19673,1568.85,10436.3,5.851446063590454
102,1625.81,4323.38,5.887050712709996
22295,1805.23,11857.4,5.8909269382197404
20700,2034.65,11118.3,5.907998605132628
16566,1819.12,9860.78,5.933425397004964
21238,1955.12,11079.7,5.9529556757766615
27171,2131.04,13291.7,5.95682949596563
2574,1751.9,2865.97,5.958140501673138
2512,1576.48,1903.45,5.9710953269185625
3987,1722.96,2354.66,5.9954789191488125
5577,1716.43,7928.0,6.0255196914432165
481,1780.82,3490.21,6.033350890823159
7635,1732.91,1782.48,6.073985540760816
5667,1845.08,991.472,6.124497428320955
60,1815.04,3877.44,6.169952987124528
21677,1921.51,10842.8,6.197960132424706
23511,1848.79,11771.7,6.228311735148258
284,1737.44,5645.3,6.235001893172438
22844,2124.4,11809.5,6.268398082895979
24961,2498.18,12486.7,6.275977300729137
1431,1829.62,2975.68,6.2819324675649435
18272,1813.54,10152.0,6.290085207463632
3902,1750.15,8199.33,6.310380746003908
21230,1989.98,11011.1,6.311987485720447
20188,1921.36,10492.5,6.314076783179664
29180,2750.13,13827.0,6.3301549696649895
7545,1765.17,699.2439999999999,6.34646615731592
27162,2897.21,13190.3,6.36312507057394
2545,1750.82,2672.16,6.371907366284727
3997,1855.32,2360.26,6.401128493145051
3892,1586.48,7271.04,6.422683171049746
21759,1952.06,11355.0,6.462293930603151
19672,1775.12,10418.5,6.483097870209307
468,1724.02,3190.88,6.5292213057467325
2531,1798.12,2608.35,6.579883047550672
24316,2490.49,12529.1,6.602243523980519
27163,3070.58,13164.3,6.635339141855462
12883,1640.81,9435.82,6.6416958503211
21666,1814.22,10697.6,6.654234355317994
402,1788.38,6481.63,6.7314022825540665
21196,1926.05,10599.1,6.741037972194195
18992,1877.27,10180.2,6.746225029046128
20709,1951.21,11043.9,6.768910275544487
20707,1987.52,10957.1,6.77161990413817
21208,1812.49,10615.6,6.773783999232908
26564,3031.6,13151.0,6.77760155945466
1426,1789.74,2650.45,6.806736352122944
21231,1976.68,11030.8,6.807562354441986
83,1659.89,4170.6,6.863048998808027
26572,2681.81,13429.5,6.867625116780345
3931,1211.46,1225.71,6.86810939433289
106,1716.09,4370.6,6.879824002349692
25508,2645.38,12865.9,6.886892943245553
2597,1832.18,2953.16,6.887871652999164
101,1621.7,4375.76,6.900205546480971
19019,1720.62,10332.4,6.959693792263562
24323,2672.69,12590.1,7.002321908154634
5574,1719.57,7595.7,7.02417363452223
3900,1774.95,8123.43,7.030873538174334
3909,1765.87,8141.46,7.033157594772327
22276,2107.45,11494.7,7.0522547788641665
2590,1831.52,2862.7,7.056349389146985
5671,1297.33,1232.37,7.120189788134403
5677,1647.82,1464.49,7.125982454377341
21167,1859.34,10590.4,7.139433056636461
21270,1861.9,11326.6,7.161767176943632
